title,date,reference,url,calificacion,precio,contains,ciudad
Cozy Loft in Bogota,14 jun. – 18 jun.,Loft entero en Bogotá,https://www.airbnb.com.co/rooms/46548491?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=e0e2f7bc-1354-4093-a509-a8c424331aa1,"4.95,19",94910,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
201 Espectacular apartaestudio tipo loft,14 jun. – 18 jun.,Loft entero en Bogotá,https://www.airbnb.com.co/rooms/41745261?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=e0e2f7bc-1354-4093-a509-a8c424331aa1,"4.93,15",60290,"2 huéspedes,Estudio,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
Hot spot near zona G-New apartment!,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/3176379?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=e0e2f7bc-1354-4093-a509-a8c424331aa1,"4.71,333",97620,"3 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina",Bogotá
Excelente Apartaestudio Zona G de Bogotá,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/37941743?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=e0e2f7bc-1354-4093-a509-a8c424331aa1,"4.88,64",95540,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
ApartaEstudio Cedritos Bogota Amarillo,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/26452933?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=e0e2f7bc-1354-4093-a509-a8c424331aa1,"4.77,47",77600,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora,Estacionamiento gratuito",Bogotá
Apartaestudio Amoblado con garaje  CHAPINERO,14 jun. – 18 jun.,Loft entero en Bogotá,https://www.airbnb.com.co/rooms/32231638?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=e0e2f7bc-1354-4093-a509-a8c424331aa1,"4.78,47",94910,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora,Estacionamiento gratuito",Bogotá
Comfy 1BR Apartment with Balcony Beachfront Morros,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/44641265?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.71,7",234240,"4 huéspedes,1 habitación,1 cama,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Perfect loft. 5 minute walk from the beach!,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/14107332?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.33,70",98359,"2 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
Selina Cartagena - Small Room Shared Bathroom,14 jun. – 18 jun.,Habitación de hotel en Provincia de Cartagena,https://www.airbnb.com.co/rooms/43131535?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,,144183,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
"PERFECT ROOM,Near tourist area. AC, WIFI, KITCHEN.",14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/29849739?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.79,63",58283,"2 huéspedes,1 habitación,1 cama,2 baños compartidos,Wifi,Aire acondicionado,Cocina",Cartagena
★ Amazing Gabo Room ★,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/47565840?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,,76686,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
"""Casa Grazziani"" - House in, Cartagena, Bolívar",14 jun. – 18 jun.,Casa entera en Cartagena,https://www.airbnb.com.co/rooms/47584330?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.75,4",100767,"4 huéspedes,2 habitaciones,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
¡Oferta! ¡Habitación en el Centro Histórico!,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/22232203?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.92,146",81759,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado",Cartagena
Casa Bijoux,14 jun. – 18 jun.,Casa entera en Cartagena,https://www.airbnb.com.co/rooms/19884831?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.98,221",374548,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
"Unique Sunset View Apartment, Palmetto Sunset",14 jun. – 18 jun.,Apartamento entero con servicios incluidos en Cartagena,https://www.airbnb.com.co/rooms/30086855?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.85,33",308350,"4 huéspedes,1 habitación,2 camas,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
"Casa Pilo, habitación # 1- Getsemaní",14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/28638389?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.85,73",64240,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Wifi,Aire acondicionado",Cartagena
Oceanfront Palmetto Eliptic Internet Veloz-1B,14 jun. – 18 jun.,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/3395204?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.64,72",237800,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
1 BR Super Luxury Suite near the Old City 106,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/45755358?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.0,4",188098,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
MODERNO & CON VISTA AL MAR  APTO EN ZONA TURISTICA,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/34573986?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.92,52",171880,"5 huéspedes,1 habitación,4 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Apartment new,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/19430876?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.66,105",177300,"3 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Cozy Studio  Apt in City Center,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/22049622?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.72,141",141000,"3 huéspedes,1 habitación,0 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
PRIVATE and Nice Apartment. AC/WIFI.,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/11409645?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.49,146",91652,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
Luxury suite. Bocagrande,14 jun. – 18 jun.,Conjunto residencial entero en Cartagena de Indias,https://www.airbnb.com.co/rooms/34144108?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"5.0,47",341240,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
H7_Habitación Privada_Hotel Stil_Desyauno Incluido,14 jun. – 18 jun.,Habitación de hotel en Provincia de Cartagena,https://www.airbnb.com.co/rooms/47542877?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.63,8",99280,"3 huéspedes,1 habitación,2 camas,1 baño privado,Wifi,Aire acondicionado",Cartagena
Habitación Privada en Casa. Cartagena,14 jun. – 18 jun.,Habitación privada en La Boquilla,https://www.airbnb.com.co/rooms/48694073?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,,101964,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
Exclusivo: Apartamento Nuevo con Vista al Mar.,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/39571430?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=4ae15aaf-9bce-4f49-a1e8-2847094e3c29,"4.92,26",288370,"4 huéspedes,1 habitación,2 camas,1,5 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
"Posada Elizabeth, Habitaciones cerca al mar priv61",14 jun. – 18 jun.,"Habitación privada en San Andrés, isla de San Andres",https://www.airbnb.com.co/rooms/24981738?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.70,20",128480,"4 huéspedes,1 habitación,2 camas,1 baño privado,Aire acondicionado,Wifi",San Andres
Duffis apartments,14 jun. – 18 jun.,Apartamento entero en San Andrés islas ,https://www.airbnb.com.co/rooms/30959448?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.74,27",169360,"3 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Haynes Cay Naturaleza y relajación Eco lodge  RPI,14 jun. – 18 jun.,Habitación de hotel en San Andres,https://www.airbnb.com.co/rooms/28466070?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"5.0,6",140160,"3 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado",San Andres
M1.Comfy central pt Near the beach.,14 jun. – 18 jun.,Apartamento entero en San Andrés isla,https://www.airbnb.com.co/rooms/14248434?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.37,46",151840,"2 huéspedes,1 habitación,3 camas,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Habitación Doble South Cay (5 mins de la playa),14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/41521150?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.83,6",233600,"2 huéspedes,1 habitación,2 camas,1 baño privado,Aire acondicionado,Wifi",San Andres
Posada Amiel Forbes Apartament 102,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/30212639?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.33,18",157680,"2 huéspedes,1 habitación,1 cama,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
"Posada Elizabeth, habitaciones cerca al mar priv 6",14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/19623258?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.64,25",128480,"4 huéspedes,1 habitación,2 camas,1 baño privado,Aire acondicionado,Wifi",San Andres
Hab. privada cerca a playa principal y aeropuerto,14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/9272078?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.67,135",140160,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
Habitación privada Spratt Bight punta hansa,14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/41493773?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.70,10",154688,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina",San Andres
Hostel Rock house Habitacion doble privada,14 jun. – 18 jun.,Habitación de hostal en San Andrés,https://www.airbnb.com.co/rooms/19889903?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.71,14",145200,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
Hospedaje Luz Marina_2,14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/18811359?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.71,71",93440,"4 huéspedes,1 habitación,3 camas,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
Apartamento Milyvic,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/24629942?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.85,63",116800,"6 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Hermoso apartamento completo 202.,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/47097430?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.33,3",175200,"6 huéspedes,2 habitaciones,3 camas,1 baño,Aire acondicionado,Cocina",San Andres
Habitación Doble Suite Alojamiento Santa Julia 302,14 jun. – 18 jun.,Habitación de hotel en San Andrés,https://www.airbnb.com.co/rooms/46127277?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,,170918,"3 huéspedes,1 habitación,1 cama,1,5 baños,Aire acondicionado,Wifi",San Andres
Apartamento con hermosa vista al mar!,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/47702117?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,,350400,"4 huéspedes,1 habitación,1 cama,2 baños,Aire acondicionado,Cocina,Wifi",San Andres
Hipocampo Azul: ✪ Estudio con Vista al  Mar ✪,14 jun. – 18 jun.,Loft entero en San Andrés,https://www.airbnb.com.co/rooms/13514623?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.55,98",209579,"5 huéspedes,Estudio,3 camas,1 baño,Aire acondicionado,Wifi",San Andres
Roxi's Place - Apartamento,14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/38259948?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.43,7",93440,"7 huéspedes,2 habitaciones,2 camas,1 baño compartido,Aire acondicionado,Cocina,Wifi",San Andres
Habitación en el CENTRO con baño privado (103),14 jun. – 18 jun.,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/37789765?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"4.67,12",139089,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
Tamarindo Inn Apartamento 202,14 jun. – 18 jun.,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/27005889?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"5.0,35",338720,"6 huéspedes,2 habitaciones,2 camas,2 baños,Aire acondicionado,Cocina,Wifi",San Andres
Karibbik Haus Hostel Superior Standard Room,14 jun. – 18 jun.,Habitación de hotel en San Andrés,https://www.airbnb.com.co/rooms/14947867?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=f6b13152-864d-4c32-a281-969800f4fbb4,"5.0,4",120170,"2 huéspedes,1 habitación,1 cama,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Private Room #3 in a Colonial House,14 jun. – 18 jun.,"Habitación privada en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/20254651?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.85,94",92422,"4 huéspedes,1 habitación,2 camas,1 baño privado,Wifi,Aire acondicionado,Cocina",Santa Marta 
RITACUBA beach House ( Mykonos style) 50% OFF,14 jun. – 18 jun.,"Habitación privada en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/31386566?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.82,78",92272,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Casa Baloo  # Madagascar,14 jun. – 18 jun.,Habitación privada en Taganga,https://www.airbnb.com.co/rooms/13671751?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.90,21",98747,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado",Santa Marta 
"TINDARI 2 AMAZING STUDIO, WITH TERRACE 260 VIEW",14 jun. – 18 jun.,Apartamento entero en Taganga,https://www.airbnb.com.co/rooms/38491135?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.70,30",188140,"2 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado",Santa Marta 
"Habitación frente al mar, Centro histórico 300",14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/32990538?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.48,117",60152,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi",Santa Marta 
"habitación frente al mar, centro histórico 310",14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/31056092?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.69,91",93440,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi",Santa Marta 
Santa Marta -Pozos Colorados Frente al Mar,14 jun. – 18 jun.,Conjunto residencial entero en Santa Marta ,https://www.airbnb.com.co/rooms/39505547?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.58,24",188848,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Confortable y Agradable apartamento en el Rodadero,14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/36163969?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.88,32",105120,"5 huéspedes,2 habitaciones,3 camas,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
Habitación para parejas en Onaca Hostal,14 jun. – 18 jun.,Habitación privada en Gaira,https://www.airbnb.com.co/rooms/47746159?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,,76500,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
"Cozy 1 bd apartment in the Rodadero, sea view 404",14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/42646385?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.86,7",137916,"2 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
Luxury apartment stunning sea views Grand Marina,14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/38623649?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.90,50",275000,"4 huéspedes,1 habitación,1 cama,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Private Suite #1 in a Colonial House,14 jun. – 18 jun.,"Habitación privada en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/20184621?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.86,69",113163,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Santa Marta 
Acogedora cabaña tipo Loft en Taganga,14 jun. – 18 jun.,"Cabaña entera en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/45709410?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.44,9",93440,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
"Wooden Chalet in Minca, Sierra Nevada",14 jun. – 18 jun.,"Chalé entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/28438659?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.82,105",350400,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina",Santa Marta 
NEW!! Great Triplex 1BR W/jacuzzi and 2 terraces,14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/30005231?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.62,39",221500,"2 huéspedes,1 habitación,1 cama,2 baños,Wifi,Aire acondicionado,Cocina",Santa Marta 
Terrazas Tayrona Vista al Mar 4pax GR,14 jun. – 18 jun.,"Apartamento entero en Santa Marta, Rodadero",https://www.airbnb.com.co/rooms/18276337?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.42,24",176900,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
The peace and tranquility your looking for,14 jun. – 18 jun.,"Conjunto residencial entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/42560345?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.83,6",213563,"6 huéspedes,2 habitaciones,3 camas,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Hotel Adaz - Habitación Privada Para 2 Personas,14 jun. – 18 jun.,"Habitación de hotel boutique en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/47221605?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.50,4",128480,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Piscina",Santa Marta 
Apartamento 2 Personas Aparta Hotel Maria's House,14 jun. – 18 jun.,Apartamento entero en Gaira,https://www.airbnb.com.co/rooms/46836870?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"3.75,4",63912,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Piscina,Cocina",Santa Marta 
Habitación 1301-2 condominio santa María del mar,14 jun. – 18 jun.,Apartamento entero en Gaira,https://www.airbnb.com.co/rooms/47998127?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=6f041041-0936-49e2-8c2f-0aa1f84d3155,"4.67,6",117676,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Piscina",Santa Marta 
Hollywood Beach Suite 309,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/45531418?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=c359eabf-367b-4831-b094-ce87595fff61,"4.33,3",107816,"2 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
